,Cur_ID,Date,Cur_OfficialRate
126,145,1995-08-02T00:00:00,11500.0
127,145,1995-08-03T00:00:00,11500.0
128,145,1995-08-04T00:00:00,11500.0
129,145,1995-08-05T00:00:00,11500.0
130,145,1995-08-06T00:00:00,11500.0
131,145,1995-08-07T00:00:00,11500.0
132,145,1995-08-08T00:00:00,11500.0
133,145,1995-08-09T00:00:00,11500.0
134,145,1995-08-10T00:00:00,11500.0
135,145,1995-08-11T00:00:00,11500.0
136,145,1995-08-12T00:00:00,11500.0
137,145,1995-08-13T00:00:00,11500.0
138,145,1995-08-14T00:00:00,11500.0
139,145,1995-08-15T00:00:00,11500.0
140,145,1995-08-16T00:00:00,11500.0
141,145,1995-08-17T00:00:00,11500.0
142,145,1995-08-18T00:00:00,11500.0
143,145,1995-08-19T00:00:00,11500.0
144,145,1995-08-20T00:00:00,11500.0
145,145,1995-08-21T00:00:00,11500.0
146,145,1995-08-22T00:00:00,11500.0
147,145,1995-08-23T00:00:00,11500.0
148,145,1995-08-24T00:00:00,11500.0
149,145,1995-08-25T00:00:00,11500.0
150,145,1995-08-26T00:00:00,11500.0
151,145,1995-08-27T00:00:00,11500.0
152,145,1995-08-28T00:00:00,11500.0
153,145,1995-08-29T00:00:00,11500.0
154,145,1995-08-30T00:00:00,11500.0
155,145,1995-08-31T00:00:00,11500.0
156,145,1995-09-01T00:00:00,11500.0
157,145,1995-09-02T00:00:00,11500.0
158,145,1995-09-03T00:00:00,11500.0
159,145,1995-09-04T00:00:00,11500.0
160,145,1995-09-05T00:00:00,11500.0
161,145,1995-09-06T00:00:00,11500.0
162,145,1995-09-07T00:00:00,11500.0
163,145,1995-09-08T00:00:00,11500.0
164,145,1995-09-09T00:00:00,11500.0
165,145,1995-09-10T00:00:00,11500.0
166,145,1995-09-11T00:00:00,11500.0
167,145,1995-09-12T00:00:00,11500.0
168,145,1995-09-13T00:00:00,11500.0
169,145,1995-09-14T00:00:00,11500.0
170,145,1995-09-15T00:00:00,11500.0
171,145,1995-09-16T00:00:00,11500.0
172,145,1995-09-17T00:00:00,11500.0
173,145,1995-09-18T00:00:00,11500.0
174,145,1995-09-19T00:00:00,11500.0
175,145,1995-09-20T00:00:00,11500.0
176,145,1995-09-21T00:00:00,11500.0
177,145,1995-09-22T00:00:00,11500.0
178,145,1995-09-23T00:00:00,11500.0
179,145,1995-09-24T00:00:00,11500.0
180,145,1995-09-25T00:00:00,11500.0
181,145,1995-09-26T00:00:00,11500.0
182,145,1995-09-27T00:00:00,11500.0
183,145,1995-09-28T00:00:00,11500.0
184,145,1995-09-29T00:00:00,11500.0
185,145,1995-09-30T00:00:00,11500.0
186,145,1995-10-01T00:00:00,11500.0
187,145,1995-10-02T00:00:00,11500.0
188,145,1995-10-03T00:00:00,11500.0
189,145,1995-10-04T00:00:00,11500.0
190,145,1995-10-05T00:00:00,11500.0
191,145,1995-10-06T00:00:00,11500.0
192,145,1995-10-07T00:00:00,11500.0
193,145,1995-10-08T00:00:00,11500.0
194,145,1995-10-09T00:00:00,11500.0
195,145,1995-10-10T00:00:00,11500.0
196,145,1995-10-11T00:00:00,11500.0
197,145,1995-10-12T00:00:00,11500.0
198,145,1995-10-13T00:00:00,11500.0
199,145,1995-10-14T00:00:00,11500.0
200,145,1995-10-15T00:00:00,11500.0
201,145,1995-10-16T00:00:00,11500.0
202,145,1995-10-17T00:00:00,11500.0
203,145,1995-10-18T00:00:00,11500.0
204,145,1995-10-19T00:00:00,11500.0
205,145,1995-10-20T00:00:00,11500.0
206,145,1995-10-21T00:00:00,11500.0
207,145,1995-10-22T00:00:00,11500.0
208,145,1995-10-23T00:00:00,11500.0
209,145,1995-10-24T00:00:00,11500.0
210,145,1995-10-25T00:00:00,11500.0
211,145,1995-10-26T00:00:00,11500.0
212,145,1995-10-27T00:00:00,11500.0
213,145,1995-10-28T00:00:00,11500.0
214,145,1995-10-29T00:00:00,11500.0
215,145,1995-10-30T00:00:00,11500.0
216,145,1995-10-31T00:00:00,11500.0
217,145,1995-11-01T00:00:00,11500.0
218,145,1995-11-02T00:00:00,11500.0
219,145,1995-11-03T00:00:00,11500.0
220,145,1995-11-04T00:00:00,11500.0
221,145,1995-11-05T00:00:00,11500.0
222,145,1995-11-06T00:00:00,11500.0
223,145,1995-11-07T00:00:00,11500.0
224,145,1995-11-08T00:00:00,11500.0
225,145,1995-11-09T00:00:00,11500.0
226,145,1995-11-10T00:00:00,11500.0
227,145,1995-11-11T00:00:00,11500.0
228,145,1995-11-12T00:00:00,11500.0
229,145,1995-11-13T00:00:00,11500.0
230,145,1995-11-14T00:00:00,11500.0
231,145,1995-11-15T00:00:00,11500.0
232,145,1995-11-16T00:00:00,11500.0
233,145,1995-11-17T00:00:00,11500.0
234,145,1995-11-18T00:00:00,11500.0
235,145,1995-11-19T00:00:00,11500.0
236,145,1995-11-20T00:00:00,11500.0
237,145,1995-11-21T00:00:00,11500.0
238,145,1995-11-22T00:00:00,11500.0
239,145,1995-11-23T00:00:00,11500.0
240,145,1995-11-24T00:00:00,11500.0
241,145,1995-11-25T00:00:00,11500.0
242,145,1995-11-26T00:00:00,11500.0
243,145,1995-11-27T00:00:00,11500.0
244,145,1995-11-28T00:00:00,11500.0
245,145,1995-11-29T00:00:00,11500.0
246,145,1995-11-30T00:00:00,11500.0
247,145,1995-12-01T00:00:00,11500.0
248,145,1995-12-02T00:00:00,11500.0
249,145,1995-12-03T00:00:00,11500.0
250,145,1995-12-04T00:00:00,11500.0
251,145,1995-12-05T00:00:00,11500.0
252,145,1995-12-06T00:00:00,11500.0
253,145,1995-12-07T00:00:00,11500.0
254,145,1995-12-08T00:00:00,11500.0
255,145,1995-12-09T00:00:00,11500.0
256,145,1995-12-10T00:00:00,11500.0
257,145,1995-12-11T00:00:00,11500.0
258,145,1995-12-12T00:00:00,11500.0
259,145,1995-12-13T00:00:00,11500.0
260,145,1995-12-14T00:00:00,11500.0
261,145,1995-12-15T00:00:00,11500.0
262,145,1995-12-16T00:00:00,11500.0
263,145,1995-12-17T00:00:00,11500.0
264,145,1995-12-18T00:00:00,11500.0
265,145,1995-12-19T00:00:00,11500.0
266,145,1995-12-20T00:00:00,11500.0
267,145,1995-12-21T00:00:00,11500.0
268,145,1995-12-22T00:00:00,11500.0
269,145,1995-12-23T00:00:00,11500.0
270,145,1995-12-24T00:00:00,11500.0
271,145,1995-12-25T00:00:00,11500.0
272,145,1995-12-26T00:00:00,11500.0
273,145,1995-12-27T00:00:00,11500.0
274,145,1995-12-28T00:00:00,11500.0
275,145,1995-12-29T00:00:00,11500.0
276,145,1995-12-30T00:00:00,11500.0
277,145,1995-12-31T00:00:00,11500.0
278,145,1996-01-01T00:00:00,11500.0
279,145,1996-01-02T00:00:00,11500.0
280,145,1996-01-03T00:00:00,11500.0
281,145,1996-01-04T00:00:00,11500.0
282,145,1996-01-05T00:00:00,11500.0
283,145,1996-01-06T00:00:00,11500.0
284,145,1996-01-07T00:00:00,11500.0
285,145,1996-01-08T00:00:00,11500.0
286,145,1996-01-09T00:00:00,11500.0
287,145,1996-01-10T00:00:00,11500.0
288,145,1996-01-11T00:00:00,11500.0
289,145,1996-01-12T00:00:00,11500.0
290,145,1996-01-13T00:00:00,11500.0
291,145,1996-01-14T00:00:00,11500.0
292,145,1996-01-15T00:00:00,11500.0
293,145,1996-01-16T00:00:00,11500.0
294,145,1996-01-17T00:00:00,11500.0
295,145,1996-01-18T00:00:00,11500.0
296,145,1996-01-19T00:00:00,11500.0
297,145,1996-01-20T00:00:00,11500.0
298,145,1996-01-21T00:00:00,11500.0
299,145,1996-01-22T00:00:00,11500.0
300,145,1996-01-23T00:00:00,11500.0
301,145,1996-01-24T00:00:00,11500.0
302,145,1996-01-25T00:00:00,11500.0
303,145,1996-01-26T00:00:00,11500.0
304,145,1996-01-27T00:00:00,11500.0
305,145,1996-01-28T00:00:00,11500.0
306,145,1996-01-29T00:00:00,11500.0
307,145,1996-01-30T00:00:00,11500.0
308,145,1996-01-31T00:00:00,11500.0
309,145,1996-02-01T00:00:00,11500.0
310,145,1996-02-02T00:00:00,11500.0
311,145,1996-02-03T00:00:00,11500.0
312,145,1996-02-04T00:00:00,11500.0
313,145,1996-02-05T00:00:00,11500.0
314,145,1996-02-06T00:00:00,11500.0
315,145,1996-02-07T00:00:00,11500.0
316,145,1996-02-08T00:00:00,11500.0
317,145,1996-02-09T00:00:00,11500.0
318,145,1996-02-10T00:00:00,11500.0
319,145,1996-02-11T00:00:00,11500.0
320,145,1996-02-12T00:00:00,11500.0
321,145,1996-02-13T00:00:00,11500.0
322,145,1996-02-14T00:00:00,11500.0
323,145,1996-02-15T00:00:00,11500.0
324,145,1996-02-16T00:00:00,11500.0
325,145,1996-02-17T00:00:00,11500.0
326,145,1996-02-18T00:00:00,11500.0
327,145,1996-02-19T00:00:00,11500.0
328,145,1996-02-20T00:00:00,11500.0
329,145,1996-02-21T00:00:00,11500.0
